,Name,Price
197,Pythonで実装、はじめての機械学習: 単純パーセプトロン、ニューラルネットワーク、ディープラーニング,￥0
198,底辺大学生が描くpythonプログラミング　～大学の成績判定プログラム～: 見よ、これが今の大学生のレポートだ！！,￥0
199,scikit-learnとTensorFlowによる実践機械学習,"￥4,860"
200,Django for APIs: Build web APIs with Python & Django,"￥4,675"
201,Python人工知能プログラミング―オブジェクト指向と関数型スタイルによるAI開発技法―,"￥2,808"
202,OpenCVとPythonによる機械学習プログラミング,"￥3,866"
203,Pythonによる深層強化学習入門 ChainerとOpenAI Gymではじめる強化学習,"￥2,722"
204,Introducing Python: Modern Computing in Simple Packages,"￥4,842"
205,Python for Programmers (Deitel Developer),"￥5,482"
206,Pythonによる　数値解析入門　第５巻　補間法,￥0
207,"Sketchbook: Cute Snake Animal Sketchbook for Kids to Sketching, Whiting, Drawing, Journaling and Doodling (8.5x11 Inch.) 120 Blank Pages for Children (Green&Black Pattern)",￥841
208,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming (English Edition)","￥3,595"
209,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","￥4,835"
210,Pythonプログラミング パーフェクトマスター,"￥2,722"
211,機械学習のための「前処理」入門,"￥3,024"
212,これ以上やさしく説明できない! Pythonはじめの一歩,"￥3,024"
213,Python入門[2&3対応],"￥2,916"
214,Python Programming: The Crash Course To Learn How To Master Python Coding Language With PRACTICAL Exercises To APPLY Theory And Some TIPS And TRICKS To ... Computer Programming (English Edition),￥0
215,みんなのRaspberry Pi入門 第4版,"￥2,916"
216,"いまさら聞けないPythonでデータ分析 多変量解析,ベイズ統計分析(PyStan,PyMC)","￥2,592"
217,The Complete Web Developer Course 2.0,￥100
218,データ分析ライブラリーを用いた 最適化モデルの作り方 (Pythonによる 問題解決シリーズ),"￥3,456"
219,プログラミングを、はじめよう,"￥1,730"
220,Easy Learning Data Structures & Algorithms Python 3: Data Structures and Algorithms Guide in Python,"￥5,481"
221,実例に学ぶExcelを生かすPython プログラミング　mission5  データを地図で表現する,￥0
222,現場で使える Django の教科書《基礎編》,"￥1,728"
223,ゼロからわかる Python超入門 (かんたんIT基礎講座),"￥2,570"
224,Learn Python 3 the Hard Way 書いて覚えるPython入門,"￥3,240"
225,"Python Machine Learning: Everything You Should Know About Python Machine Learning Including Scikit Learn, Numpy, PyTorch, Keras And Tensorflow With Step-By-Step Examples And PRACTICAL Exercises (Programming)","￥1,901"
226,はじめてのPython & seaborn ―グラフ作成プログラミング― (実践Pythonライブラリー),"￥3,240"
227,Python量子プログラミング入門２,"￥3,240"
